//如果你抓包或破解获取到了直播源，请自用，别公开，以防止人数过多拥挤卡顿.谢谢！//
🇨🇳央卫V4,#genre#
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8$黑龙江移动
福建卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8$黑龙江移动
上海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8$黑龙江移动
上海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8$黑龙江移动
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8$黑龙江移动
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8$黑龙江移动
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8$黑龙江移动
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$黑龙江移动
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8$黑龙江移动
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8$黑龙江移动
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8$黑龙江移动
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$黑龙江移动
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8$黑龙江移动
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$黑龙江移动
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8$黑龙江移动
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8$黑龙江移动
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8$黑龙江移动
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8$黑龙江移动
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$黑龙江移动
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$黑龙江移动
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8$黑龙江移动
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$黑龙江移动
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8$黑龙江移动
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8$黑龙江移动
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$黑龙江移动
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8$黑龙江移动
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8$黑龙江移动
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8$黑龙江移动
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8$黑龙江移动
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8$黑龙江移动
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8$黑龙江移动
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8$黑龙江移动
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8$黑龙江移动
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8$黑龙江移动
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8$黑龙江移动
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8$黑龙江移动
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8$黑龙江移动
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8$黑龙江移动
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8$黑龙江移动
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8$黑龙江移动
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8$黑龙江移动
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8$黑龙江移动
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8$黑龙江移动
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8$黑龙江移动
CCTV-1综合,http://39.134.65.173/PLTV/88888888/224/3221226119/1.m3u8$黑龙江七台河移动
CCTV-1综合,http://39.134.65.173/PLTV/88888888/224/3221225816/1.m3u8$黑龙江七台河移动
CCTV-1综合,http://vl15191373.imwork.net:8880/udp/239.93.0.184:5140$成都电信组播
CCTV-2财经,http://39.134.65.173/PLTV/88888888/224/3221225599/1.m3u$黑龙江七台河移动
CCTV-2财经,http://vl15191373.imwork.net:8880/udp/239.93.1.23:6000$成都电信组播
CCTV-3综艺,http://39.134.65.173/PLTV/88888888/224/3221225799/1.m3u8$黑龙江七台河移动
CCTV-3综艺,http://vl15191373.imwork.net:8880/udp/239.93.1.11:2223$成都电信组播
CCTV-4国际,http://39.134.65.173/PLTV/88888888/224/3221225797/1.m3u8$黑龙江七台河移动
CCTV-4国际,http://vl15191373.imwork.net:8880/udp/239.93.1.105:5140$成都电信组播
CCTV-5体育,http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8$黑龙江七台河移动
CCTV-5+赛事,http://39.134.65.173/PLTV/88888888/224/3221225507/1.m3u8$黑龙江七台河移动
CCTV-5体育,http://vl15191373.imwork.net:8880/udp/239.93.42.37:5140$成都电信组播
CCTV-5体育,http://vl15191373.imwork.net:8880/udp/239.93.1.36:8004$成都电信组播
CCTV-6电影,http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8$黑龙江七台河移动
CCTV-7军事,http://39.134.65.173/PLTV/88888888/224/3221225671/1.m3u8$黑龙江七台河移动
CCTV-8电视,http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8$黑龙江七台河移动
CCTV-8电视,http://vl15191373.imwork.net:8880/udp/239.93.42.39:5140$成都电信组播
CCTV-9纪录,http://39.134.65.173/PLTV/88888888/224/3221225676/1.m3u8$黑龙江七台河移动
CCTV-10科教,http://39.134.65.173/PLTV/88888888/224/3221225677/1.m3u8$黑龙江七台河移动
CCTV-10科教,http://vl15191373.imwork.net:8880/udp/239.93.1.28:5140$成都电信组播
CCTV-11戏曲,http://39.134.65.173/PLTV/88888888/224/3221225517/1.m3u8$黑龙江七台河移动
CCTV-11戏曲,http://vl15191373.imwork.net:8880/udp/239.93.0.102:5140$成都电信组播
CCTV-12社法,http://39.134.65.173/PLTV/88888888/224/3221225669/1.m3u8$黑龙江七台河移动
CCTV-12社法,http://vl15191373.imwork.net:8880/udp/239.93.1.30:8124$成都电信组播
CCTV-13新闻,http://39.134.65.173/PLTV/88888888/224/3221226125/1.m3u8$黑龙江七台河移动
CCTV-13新闻,http://39.134.65.173/PLTV/88888888/224/3221225812/1.m3u8$黑龙江七台河移动
CCTV-13新闻,http://vl15191373.imwork.net:8880/udp/239.93.0.66:5140$成都电信组播
CCTV-14少儿,http://39.134.65.173/PLTV/88888888/224/3221225674/1.m3u8$黑龙江七台河移动
CCTV-14少儿,http://39.134.65.173/PLTV/88888888/224/3221226132/1.m3u8$黑龙江七台河移动
CCTV-15音乐,http://39.134.65.173/PLTV/88888888/224/3221226127/1.m3u8$黑龙江七台河移动
CCTV-15音乐,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8$黑龙江七台河移动
CCTV-15音乐,http://vl15191373.imwork.net:8880/udp/239.93.0.103:5140$成都电信组播
CCTV-16奥匹,http://39.134.65.173/PLTV/88888888/224/3221225893/1.m3u8$黑龙江七台河移动
CCTV-17农村,http://vl15191373.imwork.net:8880/udp/239.93.0.92:5140$成都电信组播
CETV1,http://vl15191373.imwork.net:8880/udp/239.93.1.111:5140$成都电信组播
CETV2,http://vl15191373.imwork.net:8880/udp/239.93.0.113:5140$成都电信组播
CETV4,http://vl15191373.imwork.net:8880/udp/239.93.0.50:5140$成都电信组播
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225506/1.m3u8$黑龙江七台河移动
浙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225514/1.m3u8$黑龙江七台河移动
江苏卫视,http://39.134.65.173/PLTV/88888888/224/3221225503/1.m3u8$黑龙江七台河移动
上海卫视,http://39.134.65.173/PLTV/88888888/224/3221225672/1.m3u8$黑龙江七台河移动
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8$黑龙江七台河移动
辽宁卫视,http://39.134.65.173/PLTV/88888888/224/3221226089/1.m3u8$黑龙江七台河移动
山东卫视,http://39.134.65.141/PLTV/88888888/224/3221225952/1.m3u8$黑龙江七台河移动
吉林卫视,http://39.134.65.149/PLTV/88888888/224/3221225981/1.m3u8$黑龙江七台河移动
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8$黑龙江七台河移动
安徽卫视,http://39.134.65.141/PLTV/88888888/224/3221225925/1.m3u8$黑龙江七台河移动
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226060/1.m3u8$黑龙江七台河移动
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221226122/1.m3u8$黑龙江七台河移动
浙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225959/1.m3u8$黑龙江七台河移动
河北卫视,http://39.134.65.173/PLTV/88888888/224/3221225961/1.m3u8$黑龙江七台河移动
四川卫视,http://39.134.65.173/PLTV/88888888/224/3221225970/1.m3u8$黑龙江七台河移动
海南卫视,http://39.134.65.173/PLTV/88888888/224/3221225978/1.m3u8$黑龙江七台河移动
天津卫视,http://39.134.65.173/PLTV/88888888/224/3221225972/1.m3u8$黑龙江七台河移动
贵州卫视,http://39.134.65.173/PLTV/88888888/224/3221225974/1.m3u8$黑龙江七台河移动
湖北卫视,http://39.134.65.173/PLTV/88888888/224/3221225975/1.m3u8$黑龙江七台河移动
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225977/1.m3u8$黑龙江七台河移动
广东卫视,http://39.134.65.173/PLTV/88888888/224/3221225966/1.m3u8$黑龙江七台河移动
辽宁卫视,http://39.134.65.173/PLTV/88888888/224/3221225499/1.m3u8$黑龙江七台河移动
黑龙江卫视,http://39.134.65.173/PLTV/88888888/224/3221225985/1.m3u8$黑龙江七台河移动
精彩广场舞,http://39.134.65.173/PLTV/88888888/224/3221226046/1.m3u8$黑龙江七台河移动
欢乐剧场,http://39.134.65.173/PLTV/88888888/224/3221225682/1.m3u8$黑龙江七台河移动
金牌综艺,http://39.134.65.173/PLTV/88888888/224/3221225525/1.m3u8$黑龙江七台河移动
黑莓电影,http://39.134.65.173/PLTV/88888888/224/3221225681/1.m3u8$黑龙江七台河移动
哒哒赛事,http://39.134.65.173/PLTV/88888888/224/3221225559/1.m3u8$黑龙江七台河移动
超级电视剧,http://39.134.65.173/PLTV/88888888/224/3221225637/1.m3u8$黑龙江七台河移动
超级电影,http://39.134.65.173/PLTV/88888888/224/3221225644/1.m3u8$黑龙江七台河移动
东北热剧,http://39.134.65.173/PLTV/88888888/224/3221225679/1.m3u8$黑龙江七台河移动
精彩篮球,http://39.134.65.173/PLTV/88888888/224/3221225895/1.m3u8$黑龙江七台河移动
精彩竞技,http://39.134.65.173/PLTV/88888888/224/3221225897/1.m3u8$黑龙江七台河移动
哈尔滨新闻,http://39.134.65.173/PLTV/88888888/224/3221226093/1.m3u8$黑龙江七台河移动
双鸭山新闻综合,http://39.134.65.173/PLTV/88888888/224/3221226108/1.m3u8$黑龙江七台河移动
黑莓动画,http://39.134.65.173/PLTV/88888888/224/3221225529/1.m3u8$黑龙江七台河移动
黑龙江科教,http://39.134.65.173/PLTV/88888888/224/3221225994/1.m3u8$黑龙江七台河移动
黑龙江少儿,http://39.134.65.173/PLTV/88888888/224/3221225979/1.m3u8$黑龙江七台河移动
黑龙江文体,http://39.134.65.173/PLTV/88888888/224/3221225965/1.m3u8$黑龙江七台河移动
黑龙江新闻,http://39.134.65.173/PLTV/88888888/224/3221225967/1.m3u8$黑龙江七台河移动
黑龙江影视,http://39.134.65.173/PLTV/88888888/224/3221225973/1.m3u8$黑龙江七台河移动
CCTV-1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8$香港电台33
CCTV-1综合,http://101.43.66.162/migunew.php?id=cctv1$咪咕代理
CCTV-2财经,http://101.43.66.162/migunew.php?id=cctv2$咪咕代理
CCTV-3综艺,http://101.43.66.162/migunew.php?id=cctv3$咪咕代理
CCTV-4国际,http://101.43.66.162/migunew.php?id=cctv4$咪咕代理
CCTV-5体育,http://101.43.66.162/migunew.php?id=cctv5$咪咕代理
CCTV-6电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8$官方CDN高清
CCTV-6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202$官方CDN高清
CCTV-7军事,http://101.43.66.162/migunew.php?id=cctv7$咪咕代理
CCTV-8电视,http://101.43.66.162/migunew.php?id=cctv8$咪咕代理
CCTV-9纪录,http://101.43.66.162/migunew.php?id=cctv9$咪咕代理
CCTV-10科教,http://101.43.66.162/migunew.php?id=cctv10$咪咕代理
CCTV-11戏曲,http://101.43.66.162/migunew.php?id=cctv11$咪咕代理
CCTV-12社法,http://101.43.66.162/migunew.php?id=cctv12$咪咕代理
CCTV-13新闻,http://101.43.66.162/migunew.php?id=cctv13$咪咕代理
CCTV-14少儿,http://101.43.66.162/migunew.php?id=cctv14$咪咕代理
CCTV-15音乐,http://101.43.66.162/migunew.php?id=cctv15$咪咕代理
CCTV-16奥匹,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8$黑龙江移动
CCTV-17农村,http://101.43.66.162/migunew.php?id=cctv17$咪咕代理
CCTV-5+赛事,http://101.43.66.162/migunew.php?id=cctv5p$咪咕代理
CCTV4欧洲,http://101.43.66.162/migunew.php?id=cctv4o$咪咕代理
CCTV4美洲,http://101.43.66.162/migunew.php?id=cctv4a$咪咕代理
CCTV-1综合,http://117.72.68.25:9930/migu.php?id=cctv1$咪咕代理
CCTV-2财经,http://117.72.68.25:9930/migu.php?id=cctv2$咪咕代理
CCTV-3综艺,http://117.72.68.25:9930/migu.php?id=cctv3$咪咕代理
CCTV-4国际,http://117.72.68.25:9930/migu.php?id=cctv4$咪咕代理
CCTV-5体育,http://117.72.68.25:9930/migu.php?id=cctv5$咪咕代理
CCTV-6电影,http://117.72.68.25:9930/migu.php?id=cctv6$咪咕代理
CCTV-7军事,http://117.72.68.25:9930/migu.php?id=cctv7$咪咕代理
CCTV-8电视,http://117.72.68.25:9930/migu.php?id=cctv8$咪咕代理
CCTV-9纪录,http://117.72.68.25:9930/migu.php?id=cctv9$咪咕代理
CCTV-10科教,http://117.72.68.25:9930/migu.php?id=cctv10$咪咕代理
CCTV-11戏曲,http://117.72.68.25:9930/migu.php?id=cctv11$咪咕代理
CCTV-12社法,http://117.72.68.25:9930/migu.php?id=cctv12$咪咕代理
CCTV-13新闻,http://117.72.68.25:9930/migu.php?id=cctv13$咪咕代理
CCTV-14少儿,http://117.72.68.25:9930/migu.php?id=cctv14$咪咕代理
CCTV-15音乐,http://117.72.68.25:9930/migu.php?id=cctv15$咪咕代理
CCTV-17农村,http://117.72.68.25:9930/migu.php?id=cctv17$咪咕代理
CCTV-5+赛事,http://117.72.68.25:9930/migu.php?id=cctv5p$咪咕代理
CCTV4欧洲,http://117.72.68.25:9930/migu.php?id=cctv4o$咪咕代理
CCTV4美洲,http://117.72.68.25:9930/migu.php?id=cctv4a$咪咕代理
上海卫视,http://101.43.66.162/migunew.php?id=dfws$咪咕代理
吉林卫视,http://101.43.66.162/migunew.php?id=jlws$咪咕代理
青海卫视,http://101.43.66.162/migunew.php?id=qhws$咪咕代理
陕西卫视,http://101.43.66.162/migunew.php?id=sxws$咪咕代理
湖北卫视,http://101.43.66.162/migunew.php?id=hubws$咪咕代理
江西卫视,http://101.43.66.162/migunew.php?id=jxws$咪咕代理
江苏卫视,http://101.43.66.162/migunew.php?id=jsws$咪咕代理
广东卫视,http://101.43.66.162/migunew.php?id=gdws$咪咕代理
大湾区卫视,http://101.43.66.162/migunew.php?id=dwqws$咪咕代理
海南卫视,http://101.43.66.162/migunew.php?id=hinws$咪咕代理
上海卫视,http://117.72.68.25:9930/migu.php?id=dfws$咪咕代理
吉林卫视,http://117.72.68.25:9930/migu.php?id=jlws$咪咕代理
青海卫视,http://117.72.68.25:9930/migu.php?id=qhws$咪咕代理
陕西卫视,http://117.72.68.25:9930/migu.php?id=sxws$咪咕代理
湖北卫视,http://117.72.68.25:9930/migu.php?id=hubws$咪咕代理
江西卫视,http://117.72.68.25:9930/migu.php?id=jxws$咪咕代理
江苏卫视,http://117.72.68.25:9930/migu.php?id=jsws$咪咕代理
广东卫视,http://117.72.68.25:9930/migu.php?id=gdws$咪咕代理
大湾区卫视,http://117.72.68.25:9930/migu.php?id=dwqws$咪咕代理
海南卫视,http://117.72.68.25:9930/migu.php?id=hinws$咪咕代理
发现之旅,http://101.43.66.162/migunew.php?id=fxzl$咪咕代理
老故事,http://101.43.66.162/migunew.php?id=lgs$咪咕代理
中学生,http://101.43.66.162/migunew.php?id=zxs$咪咕代理
发现之旅,http://117.72.68.25:9930/migu.php?id=fxzl$咪咕代理
老故事,http://117.72.68.25:9930/migu.php?id=lgs$咪咕代理
中学生,http://117.72.68.25:9930/migu.php?id=zxs$咪咕代理
CHC家庭影院,http://101.43.66.162/migunew.php?id=chcjt$咪咕代理
CHC动作电影,http://101.43.66.162/migunew.php?id=chcdz$咪咕代理
CHC家庭影院,http://117.72.68.25:9930/migu.php?id=chcjt$咪咕代理
CHC动作电影,http://117.72.68.25:9930/migu.php?id=chcdz$咪咕代理
四海钓鱼,http://101.43.66.162/migunew.php?id=shdy$咪咕代理
江苏教育,http://101.43.66.162/migunew.php?id=jsjy$咪咕代理
山东教育,http://101.43.66.162/migunew.php?id=sdjy$咪咕代理
游戏风云,http://101.43.66.162/migunew.php?id=yxfy$咪咕代理
四海钓鱼,http://117.72.68.25:9930/migu.php?id=shdy$咪咕代理
江苏教育,http://117.72.68.25:9930/migu.php?id=jsjy$咪咕代理
山东教育,http://117.72.68.25:9930/migu.php?id=sdjy$咪咕代理
游戏风云,http://117.72.68.25:9930/migu.php?id=yxfy$咪咕代理
